uid,ontime_rate_oncampus,absent_rate_oncampus,extra,agrbl,consc,neuro,openn
01,-0.972,1.265,3.125,3.778,4.444,2.750,3.900
02,-0.903,0.668,2.125,3.000,4.222,3.500,3.200
03,-0.000,0.951,2.125,3.222,3.889,3.375,2.700
04,0.085,0.011,2.375,3.111,2.667,4.125,2.900
05,1.265,-0.811,3.125,3.778,4.444,2.750,3.300
07,1.011,-0.206,3.125,4.222,3.778,2.143,2.300
08,0.630,-0.397,2.625,3.778,4.222,3.250,3.300
09,-0.608,-1.143,2.375,4.556,2.667,2.125,3.300
10,2.019,-1.668,2.000,1.333,4.778,3.375,3.600
14,1.360,-0.801,3.250,3.667,3.375,2.429,3.300
15,0.442,-0.550,3.250,3.556,3.111,2.750,3.000
16,1.895,-1.866,1.750,3.333,3.556,4.250,3.800
17,0.317,-0.773,2.625,3.889,3.333,3.125,4.500
18,-1.141,0.090,2.625,2.222,3.222,3.750,2.500
19,0.822,-1.246,1.750,3.111,3.444,3.625,3.200
20,-1.276,1.637,3.875,4.333,3.333,2.375,3.600
22,-1.247,1.857,3.625,3.444,4.556,2.875,3.800
23,0.216,0.602,3.000,3.667,3.000,3.750,3.600
24,-0.412,1.341,3.500,2.667,2.333,3.125,3.500
27,-1.996,0.230,2.500,3.889,2.667,3.125,3.300
30,1.178,-1.490,4.500,4.111,4.444,2.000,3.600
32,-0.139,0.052,4.250,4.222,4.333,1.750,3.700
33,-0.333,0.191,2.875,3.333,1.889,3.625,4.600
35,-1.671,2.202,2.625,3.889,3.556,2.625,3.400
43,0.085,-0.428,2.375,4.111,4.222,2.500,3.300
46,-0.981,0.618,3.125,3.111,3.556,3.500,4.200
49,0.374,-0.986,2.875,4.222,3.667,2.500,4.300
50,-0.103,-0.125,3.875,3.333,3.556,2.500,3.500
52,0.329,-0.543,1.625,3.333,2.222,4.125,3.500
53,-0.281,0.180,2.250,4.000,2.889,4.500,4.400
54,-1.446,0.654,3.000,3.333,3.111,2.750,3.100
57,0.867,-0.821,2.125,4.000,3.222,2.125,2.700
58,-0.013,0.975,2.125,4.333,3.556,3.875,3.600
59,1.600,-1.073,4.000,4.111,2.556,2.875,3.500
