uid,q3,extra,agrbl,consc,neuro,openn
00,4.200,3.750,2.889,3.000,3.125,4.500
01,-6.600,3.125,3.778,4.444,2.750,3.900
03,3.600,2.125,3.222,3.889,3.375,2.700
08,-3.200,2.625,3.778,4.222,3.250,3.300
10,0.000,2.000,1.333,4.778,3.375,3.600
16,3.800,1.750,3.333,3.556,4.250,3.800
17,6.400,2.625,3.889,3.333,3.125,4.500
18,-3.800,2.625,2.222,3.222,3.750,2.500
19,-2.200,1.750,3.111,3.444,3.625,3.200
27,0.000,2.500,3.889,2.667,3.125,3.300
32,1.600,4.250,4.222,4.333,1.750,3.700
36,0.000,3.500,4.111,3.778,1.750,3.500
39,0.000,3.375,3.333,3.111,3.000,3.500
42,6.000,3.125,4.222,2.444,2.500,3.900
45,-1.000,3.750,3.667,3.444,3.125,3.700
51,0.000,3.375,3.778,3.778,2.750,4.000
53,-1.200,2.250,4.000,2.889,4.500,4.400
54,2.400,3.000,3.333,3.111,2.750,3.100
57,2.200,2.125,4.000,3.222,2.125,2.700
58,4.800,2.125,4.333,3.556,3.875,3.600
59,6.200,4.000,4.111,2.556,2.875,3.500
