uid,start_time_var_mon,start_time_var_tue,start_time_var_wed,start_time_var_thr,start_time_var_fri,extra,agrbl,consc,neuro,openn
01,-0.657,-0.321,-0.173,-0.272,-0.718,3.125,3.778,4.444,2.750,3.900
02,-1.129,-0.733,-0.869,-0.802,0.317,2.125,3.000,4.222,3.500,3.200
03,-0.431,-0.304,-1.026,-0.921,-0.227,2.125,3.222,3.889,3.375,2.700
04,-1.153,-0.826,-0.929,-0.893,-0.885,2.375,3.111,2.667,4.125,2.900
05,-1.011,-0.745,-0.935,-0.555,0.812,3.125,3.778,4.444,2.750,3.300
07,-0.329,-0.369,-0.775,-0.924,-0.362,3.125,4.222,3.778,2.143,2.300
08,0.417,-0.452,-0.617,-0.596,-0.704,2.625,3.778,4.222,3.250,3.300
09,2.364,-0.711,-0.952,-0.735,-1.052,2.375,4.556,2.667,2.125,3.300
10,-1.172,-0.858,-1.013,-0.844,-1.110,2.000,1.333,4.778,3.375,3.600
14,1.691,-0.418,-0.975,2.936,0.009,3.250,3.667,3.375,2.429,3.300
15,0.967,2.871,0.515,2.909,-0.883,3.250,3.556,3.111,2.750,3.000
16,-0.972,-0.390,-0.492,-0.708,0.755,1.750,3.333,3.556,4.250,3.800
17,-1.039,0.412,-0.975,-0.706,-0.958,2.625,3.889,3.333,3.125,4.500
18,1.182,1.241,-0.496,-0.897,2.419,2.625,2.222,3.222,3.750,2.500
19,-0.989,-0.585,1.718,-0.550,-0.900,1.750,3.111,3.444,3.625,3.200
20,2.024,-0.563,0.566,-0.949,2.326,3.875,4.333,3.333,2.375,3.600
22,1.220,-0.619,1.210,0.836,-0.038,3.625,3.444,4.556,2.875,3.800
23,-0.374,1.452,0.647,-0.142,0.870,3.000,3.667,3.000,3.750,3.600
24,-0.640,0.126,1.240,-0.293,-0.380,3.500,2.667,2.333,3.125,3.500
27,-0.985,0.664,-0.662,-0.346,1.566,2.500,3.889,2.667,3.125,3.300
30,-1.153,-0.749,-0.458,-0.682,-0.984,4.500,4.111,4.444,2.000,3.600
32,-0.173,-0.770,0.593,0.557,1.079,4.250,4.222,4.333,1.750,3.700
33,-0.528,-0.789,-0.457,0.447,-0.222,2.875,3.333,1.889,3.625,4.600
35,0.972,-0.731,-0.456,-0.381,-0.444,2.625,3.889,3.556,2.625,3.400
43,0.426,-0.037,3.469,0.358,-0.969,2.375,4.111,4.222,2.500,3.300
46,-0.368,-0.745,0.987,1.546,-0.063,3.125,3.111,3.556,3.500,4.200
49,-0.461,-0.339,0.540,1.087,-0.448,2.875,4.222,3.667,2.500,4.300
50,-0.437,-0.636,-0.561,0.539,-0.259,3.875,3.333,3.556,2.500,3.500
52,0.271,-0.550,0.561,-0.095,-0.065,1.625,3.333,2.222,4.125,3.500
53,-0.319,-0.375,0.827,1.254,1.095,2.250,4.000,2.889,4.500,4.400
54,0.751,1.258,-0.348,-0.465,-0.169,3.000,3.333,3.111,2.750,3.100
57,1.923,-0.315,-0.644,-0.721,-0.947,2.125,4.000,3.222,2.125,2.700
58,0.815,-0.053,1.824,1.282,0.167,2.125,4.333,3.556,3.875,3.600
59,-0.807,1.798,-0.207,-0.593,-0.731,4.000,4.111,2.556,2.875,3.500
