uid,start_time_var_oncampus,extra,agrbl,consc,neuro,openn
01,11618753.515,3.125,3.778,4.444,2.750,3.900
02,181043.918,2.125,3.000,4.222,3.500,3.200
03,102781.944,2.125,3.222,3.889,3.375,2.700
04,36736863.372,2.375,3.111,2.667,4.125,2.900
05,84762.372,3.125,3.778,4.444,2.750,3.300
07,168961296.188,3.125,4.222,3.778,2.143,2.300
08,38930.638,2.625,3.778,4.222,3.250,3.300
09,138013173.956,2.375,4.556,2.667,2.125,3.300
10,12653.883,2.000,1.333,4.778,3.375,3.600
14,261702.883,3.250,3.667,3.375,2.429,3.300
15,79150036.240,3.250,3.556,3.111,2.750,3.000
16,238998825.781,1.750,3.333,3.556,4.250,3.800
17,41498.536,2.625,3.889,3.333,3.125,4.500
18,37182.209,2.625,2.222,3.222,3.750,2.500
19,61327545.857,1.750,3.111,3.444,3.625,3.200
20,146360833.959,3.875,4.333,3.333,2.375,3.600
22,10698.061,3.625,3.444,4.556,2.875,3.800
23,183137881.597,3.000,3.667,3.000,3.750,3.600
24,146701570.102,3.500,2.667,2.333,3.125,3.500
27,417375818.429,2.500,3.889,2.667,3.125,3.300
30,148578999.245,4.500,4.111,4.444,2.000,3.600
32,32200.944,4.250,4.222,4.333,1.750,3.700
33,172952939.209,2.875,3.333,1.889,3.625,4.600
35,144935990.515,2.625,3.889,3.556,2.625,3.400
43,287585598.246,2.375,4.111,4.222,2.500,3.300
46,179109830.516,3.125,3.111,3.556,3.500,4.200
49,286530293.316,2.875,4.222,3.667,2.500,4.300
50,166253066.883,3.875,3.333,3.556,2.500,3.500
52,217092955.388,1.625,3.333,2.222,4.125,3.500
53,15406904.245,2.250,4.000,2.889,4.500,4.400
54,233838144.246,3.000,3.333,3.111,2.750,3.100
57,202627011.559,2.125,4.000,3.222,2.125,2.700
58,10387.959,2.125,4.333,3.556,3.875,3.600
59,4635.883,4.000,4.111,2.556,2.875,3.500
