uid,stat_daily,walk_daily,run_daily,extra,agrbl,consc,neuro,openn
00,-0.750,1.366,0.992,3.750,2.889,3.000,3.125,4.500
01,0.216,0.365,1.276,3.125,3.778,4.444,2.750,3.900
02,0.534,1.182,-0.887,2.125,3.000,4.222,3.500,3.200
03,0.846,-1.513,-0.921,2.125,3.222,3.889,3.375,2.700
04,-0.005,2.109,2.943,2.375,3.111,2.667,4.125,2.900
05,0.015,-0.277,-0.717,3.125,3.778,4.444,2.750,3.300
07,0.510,0.057,0.527,3.125,4.222,3.778,2.143,2.300
08,0.398,0.625,0.722,2.625,3.778,4.222,3.250,3.300
09,-0.104,0.754,-0.168,2.375,4.556,2.667,2.125,3.300
10,0.864,-0.362,-0.025,2.000,1.333,4.778,3.375,3.600
12,0.615,-0.506,0.267,2.875,3.556,3.667,2.875,3.400
13,-0.147,-0.811,-0.169,3.375,3.556,2.444,3.375,4.300
14,-0.521,2.301,-0.265,3.250,3.667,3.375,2.429,3.300
15,-2.252,-0.858,-0.825,3.250,3.556,3.111,2.750,3.000
16,0.366,0.133,-0.426,1.750,3.333,3.556,4.250,3.800
17,0.908,-0.440,-0.609,2.625,3.889,3.333,3.125,4.500
18,0.344,-0.681,-0.701,2.625,2.222,3.222,3.750,2.500
19,0.730,-0.049,-0.957,1.750,3.111,3.444,3.625,3.200
20,0.127,-0.900,-0.911,3.875,4.333,3.333,2.375,3.600
22,-0.304,-0.520,0.492,3.625,3.444,4.556,2.875,3.800
23,1.054,-1.054,-0.781,3.000,3.667,3.000,3.750,3.600
24,0.465,0.276,0.286,3.500,2.667,2.333,3.125,3.500
27,0.547,-0.703,-0.678,2.500,3.889,2.667,3.125,3.300
30,0.013,1.128,-0.269,4.500,4.111,4.444,2.000,3.600
31,0.039,-0.018,-0.399,4.250,3.889,2.889,3.125,3.700
32,-0.182,1.296,0.006,4.250,4.222,4.333,1.750,3.700
33,0.198,0.258,-0.514,2.875,3.333,1.889,3.625,4.600
34,-0.338,-0.251,-0.423,3.250,4.333,3.111,2.875,3.300
35,0.946,-0.840,0.134,2.625,3.889,3.556,2.625,3.400
36,0.349,0.025,1.292,3.500,4.111,3.778,1.750,3.500
39,-0.421,-2.011,-1.019,3.375,3.333,3.111,3.000,3.500
42,0.101,-0.943,-0.701,3.125,4.222,2.444,2.500,3.900
43,-0.782,0.299,-0.075,2.375,4.111,4.222,2.500,3.300
44,0.592,-1.286,-0.824,3.375,3.667,3.778,2.250,3.600
45,0.091,-0.942,-0.788,3.750,3.667,3.444,3.125,3.700
46,-0.215,2.864,2.313,3.125,3.111,3.556,3.500,4.200
47,0.058,-0.491,-0.678,4.375,3.222,3.444,2.000,3.800
49,2.001,0.776,-0.089,2.875,4.222,3.667,2.500,4.300
50,-0.394,-1.357,-1.008,3.875,3.333,3.556,2.500,3.500
51,0.602,0.900,1.095,3.375,3.778,3.778,2.750,4.000
52,-4.470,0.363,3.233,1.625,3.333,2.222,4.125,3.500
53,0.319,-0.997,-0.882,2.250,4.000,2.889,4.500,4.400
54,-0.526,0.752,-0.184,3.000,3.333,3.111,2.750,3.100
56,0.651,0.103,0.069,1.625,4.111,3.333,2.000,4.100
57,-0.079,1.262,2.174,2.125,4.000,3.222,2.125,2.700
58,0.630,-0.230,-0.360,2.125,4.333,3.556,3.875,3.600
59,0.000,0.000,0.000,4.000,4.111,2.556,2.875,3.500
