uid,stat_daily_oncampus,walk_daily_oncampus,run_daily_oncampus,extra,agrbl,consc,neuro,openn
01,0.227,0.223,1.156,3.125,3.778,4.444,2.75,3.9
02,0.507,1.029,-0.862,2.125,3,4.222,3.5,3.2
03,0.781,-1.631,-0.893,2.125,3.222,3.889,3.375,2.7
04,0.032,1.945,2.711,2.375,3.111,2.667,4.125,2.9
05,0.049,-0.411,-0.703,3.125,3.778,4.444,2.75,3.3
07,0.486,-0.081,0.458,3.125,4.222,3.778,2.143,2.3
08,0.387,0.480,0.639,2.625,3.778,4.222,3.25,3.3
09,-0.055,0.607,-0.191,2.375,4.556,2.667,2.125,3.3
10,0.797,-0.495,-0.058,2,1.333,4.778,3.375,3.6
14,-0.423,2.134,-0.282,3.25,3.667,3.375,2.429,3.3
15,-1.948,-0.985,-0.804,3.25,3.556,3.111,2.75,3
16,0.359,-0.006,-0.432,1.75,3.333,3.556,4.25,3.8
17,0.836,-0.572,-0.603,2.625,3.889,3.333,3.125,4.5
18,0.339,-0.809,-0.689,2.625,2.222,3.222,3.75,2.5
19,0.679,-0.186,-0.927,1.75,3.111,3.444,3.625,3.2
20,0.149,-1.026,-0.884,3.875,4.333,3.333,2.375,3.6
22,-0.232,-0.650,0.424,3.625,3.444,4.556,2.875,3.8
23,0.965,-1.178,-0.763,3,3.667,3,3.75,3.6
24,0.446,0.136,0.232,3.5,2.667,2.333,3.125,3.5
27,0.518,-0.832,-0.666,2.5,3.889,2.667,3.125,3.3
30,0.048,0.976,-0.285,4.5,4.111,4.444,2,3.6
32,-0.124,1.142,-0.028,4.25,4.222,4.333,1.75,3.7
33,0.210,0.118,-0.514,2.875,3.333,1.889,3.625,4.6
35,0.870,-0.966,0.091,2.625,3.889,3.556,2.625,3.4
43,-0.653,0.158,-0.104,2.375,4.111,4.222,2.5,3.3
46,-0.153,2.690,2.124,3.125,3.111,3.556,3.5,4.2
49,1.798,0.628,-0.118,2.875,4.222,3.667,2.5,4.3
50,-0.310,-1.477,-0.975,3.875,3.333,3.556,2.5,3.5
52,-3.901,0.221,2.982,1.625,3.333,2.222,4.125,3.5
53,0.317,-1.121,-0.857,2.25,4,2.889,4.5,4.4
54,-0.427,0.605,-0.206,3,3.333,3.111,2.75,3.1
57,-0.033,1.108,1.994,2.125,4,3.222,2.125,2.7
58,0.591,-0.364,-0.370,2.125,4.333,3.556,3.875,3.6
59,0.000,0.000,0.000,4,4.111,2.556,2.875,3.5
