uid,stat_rate,act_rate,extra,agrbl,consc,neuro,openn
00,-1.309,1.199,3.750,2.889,3.000,3.125,4.500
01,-0.007,0.484,3.125,3.778,4.444,2.750,3.900
02,-0.082,0.229,2.125,3.000,4.222,3.500,3.200
03,1.558,-1.295,2.125,3.222,3.889,3.375,2.700
04,-1.596,1.870,2.375,3.111,2.667,4.125,2.900
05,0.297,-0.450,3.125,3.778,4.444,2.750,3.300
07,0.071,0.017,3.125,4.222,3.778,2.143,2.300
08,0.020,0.424,2.625,3.778,4.222,3.250,3.300
09,-0.226,0.343,2.375,4.556,2.667,2.125,3.300
10,0.706,-0.405,2.000,1.333,4.778,3.375,3.600
12,0.252,-0.388,2.875,3.556,3.667,2.875,3.400
13,0.372,-0.579,3.375,3.556,2.444,3.375,4.300
14,-0.733,1.363,3.250,3.667,3.375,2.429,3.300
15,0.129,-0.485,3.250,3.556,3.111,2.750,3.000
16,0.419,-0.169,1.750,3.333,3.556,4.250,3.800
17,0.686,-0.623,2.625,3.889,3.333,3.125,4.500
18,0.824,-0.713,2.625,2.222,3.222,3.750,2.500
19,0.575,-0.484,1.750,3.111,3.444,3.625,3.200
20,1.131,-0.877,3.875,4.333,3.333,2.375,3.600
22,0.212,-0.161,3.625,3.444,4.556,2.875,3.800
23,1.171,-1.014,3.000,3.667,3.000,3.750,3.600
24,0.278,0.097,3.500,2.667,2.333,3.125,3.500
27,0.791,-0.745,2.500,3.889,2.667,3.125,3.300
30,-0.843,0.448,4.500,4.111,4.444,2.000,3.600
31,-0.131,-0.222,4.250,3.889,2.889,3.125,3.700
32,-0.756,0.699,4.250,4.222,4.333,1.750,3.700
33,0.262,-0.098,2.875,3.333,1.889,3.625,4.600
34,-0.907,-0.347,3.250,4.333,3.111,2.875,3.300
35,0.715,-0.638,2.625,3.889,3.556,2.625,3.400
36,-0.336,0.227,3.500,4.111,3.778,1.750,3.500
39,1.769,-1.597,3.375,3.333,3.111,3.000,3.500
42,0.521,-0.855,3.125,4.222,2.444,2.500,3.900
43,-0.343,0.262,2.375,4.111,4.222,2.500,3.300
44,1.291,-1.123,3.375,3.667,3.778,2.250,3.600
45,-0.442,-0.914,3.750,3.667,3.444,3.125,3.700
46,-1.823,2.185,3.125,3.111,3.556,3.500,4.200
47,0.444,-0.569,4.375,3.222,3.444,2.000,3.800
49,0.271,-0.040,2.875,4.222,3.667,2.500,4.300
50,0.949,-1.162,3.875,3.333,3.556,2.500,3.500
51,-0.350,0.597,3.375,3.778,3.778,2.750,4.000
52,-3.909,4.028,1.625,3.333,2.222,4.125,3.500
53,0.970,-0.953,2.250,4.000,2.889,4.500,4.400
54,-0.386,0.443,3.000,3.333,3.111,2.750,3.100
56,-0.056,-0.126,1.625,4.111,3.333,2.000,4.100
57,-1.178,1.249,2.125,4.000,3.222,2.125,2.700
58,0.471,-0.403,2.125,4.333,3.556,3.875,3.600
59,-1.632,1.343,4.000,4.111,2.556,2.875,3.500
