uid,stat_rate,walk_rate,run_rate,extra,agrbl,consc,neuro,openn
00,-1.382,1.422,0.743,3.750,2.889,3.000,3.125,4.500
01,-0.043,0.246,0.833,3.125,3.778,4.444,2.750,3.900
02,-0.119,0.871,-0.709,2.125,3.000,4.222,3.500,3.200
03,1.568,-1.493,-0.730,2.125,3.222,3.889,3.375,2.700
04,-1.678,1.699,1.906,2.375,3.111,2.667,4.125,2.900
05,0.271,-0.277,-0.575,3.125,3.778,4.444,2.750,3.300
07,0.038,-0.104,0.264,3.125,4.222,3.778,2.143,2.300
08,-0.015,0.432,0.412,2.625,3.778,4.222,3.250,3.300
09,-0.268,0.694,-0.174,2.375,4.556,2.667,2.125,3.300
10,0.691,-0.504,-0.127,2.000,1.333,4.778,3.375,3.600
12,0.224,-0.615,0.080,2.875,3.556,3.667,2.875,3.400
13,0.348,-0.756,-0.154,3.375,3.556,2.444,3.375,4.300
14,-0.789,2.318,-0.225,3.250,3.667,3.375,2.429,3.300
15,0.098,-0.322,-0.591,3.250,3.556,3.111,2.750,3.000
16,0.396,0.031,-0.378,1.750,3.333,3.556,4.250,3.800
17,0.671,-0.582,-0.524,2.625,3.889,3.333,3.125,4.500
18,0.813,-0.692,-0.569,2.625,2.222,3.222,3.750,2.500
19,0.557,-0.210,-0.757,1.750,3.111,3.444,3.625,3.200
20,1.129,-0.850,-0.717,3.875,4.333,3.333,2.375,3.600
22,0.183,-0.447,0.363,3.625,3.444,4.556,2.875,3.800
23,1.170,-1.114,-0.639,3.000,3.667,3.000,3.750,3.600
24,0.251,0.122,0.111,3.500,2.667,2.333,3.125,3.500
27,0.778,-0.749,-0.558,2.500,3.889,2.667,3.125,3.300
30,-0.903,0.921,-0.271,4.500,4.111,4.444,2.000,3.600
31,-0.170,-0.072,-0.350,4.250,3.889,2.889,3.125,3.700
32,-0.813,1.170,-0.055,4.250,4.222,4.333,1.750,3.700
33,0.234,0.179,-0.435,2.875,3.333,1.889,3.625,4.600
34,-0.969,-0.259,-0.360,3.250,4.333,3.111,2.875,3.300
35,0.701,-0.934,-0.027,2.625,3.889,3.556,2.625,3.400
36,-0.380,-0.128,0.794,3.500,4.111,3.778,1.750,3.500
39,1.785,-1.920,-0.797,3.375,3.333,3.111,3.000,3.500
42,0.502,-0.917,-0.564,3.125,4.222,2.444,2.500,3.900
43,-0.387,0.479,-0.040,2.375,4.111,4.222,2.500,3.300
44,1.294,-1.271,-0.659,3.375,3.667,3.778,2.250,3.600
45,-0.490,-0.961,-0.635,3.750,3.667,3.444,3.125,3.700
46,-1.911,2.447,1.517,3.125,3.111,3.556,3.500,4.200
47,0.421,-0.482,-0.546,4.375,3.222,3.444,2.000,3.800
49,0.244,0.151,-0.256,2.875,4.222,3.667,2.500,4.300
50,0.941,-1.246,-0.789,3.875,3.333,3.556,2.500,3.500
51,-0.395,0.570,0.612,3.375,3.778,3.778,2.750,4.000
52,-4.058,2.720,5.448,1.625,3.333,2.222,4.125,3.500
53,0.963,-0.980,-0.699,2.250,4.000,2.889,4.500,4.400
54,-0.432,0.836,-0.153,3.000,3.333,3.111,2.750,3.100
56,-0.093,-0.108,-0.068,1.625,4.111,3.333,2.000,4.100
57,-1.248,1.035,1.444,2.125,4.000,3.222,2.125,2.700
58,0.449,-0.357,-0.345,2.125,4.333,3.556,3.875,3.600
59,-0.000,0.000,0.000,4.000,4.111,2.556,2.875,3.500
