uid,stat_rate_oncampus,walk_rate_oncampus,run_rate_oncampus,extra,agrbl,consc,neuro,openn
01,-0.103,0.119,1.383,3.125,3.778,4.444,2.750,3.900
02,-0.191,0.758,-0.939,2.125,3.000,4.222,3.500,3.200
03,1.747,-1.660,-0.970,2.125,3.222,3.889,3.375,2.700
04,-1.982,1.604,2.999,2.375,3.111,2.667,4.125,2.900
05,0.257,-0.416,-0.737,3.125,3.778,4.444,2.750,3.300
07,-0.010,-0.240,0.526,3.125,4.222,3.778,2.143,2.300
08,-0.071,0.309,0.749,2.625,3.778,4.222,3.250,3.300
09,-0.362,0.576,-0.133,2.375,4.556,2.667,2.125,3.300
10,0.740,-0.649,-0.063,2.000,1.333,4.778,3.375,3.600
14,-0.961,2.238,-0.209,3.250,3.667,3.375,2.429,3.300
15,0.059,-0.462,-0.761,3.250,3.556,3.111,2.750,3.000
16,0.401,-0.102,-0.440,1.750,3.333,3.556,4.250,3.800
17,0.717,-0.728,-0.660,2.625,3.889,3.333,3.125,4.500
18,0.880,-0.841,-0.728,2.625,2.222,3.222,3.750,2.500
19,0.586,-0.348,-1.011,1.750,3.111,3.444,3.625,3.200
20,1.243,-1.003,-0.951,3.875,4.333,3.333,2.375,3.600
22,0.156,-0.590,0.675,3.625,3.444,4.556,2.875,3.800
23,1.290,-1.273,-0.833,3.000,3.667,3.000,3.750,3.600
24,0.235,-0.008,0.296,3.500,2.667,2.333,3.125,3.500
27,0.840,-0.899,-0.712,2.500,3.889,2.667,3.125,3.300
30,-1.091,0.809,-0.279,4.500,4.111,4.444,2.000,3.600
32,-0.988,1.063,0.046,4.250,4.222,4.333,1.750,3.700
33,0.215,0.050,-0.526,2.875,3.333,1.889,3.625,4.600
35,0.751,-1.088,0.089,2.625,3.889,3.556,2.625,3.400
43,-0.499,0.356,0.069,2.375,4.111,4.222,2.500,3.300
46,-2.250,2.369,2.413,3.125,3.111,3.556,3.500,4.200
49,0.226,0.021,-0.256,2.875,4.222,3.667,2.500,4.300
50,1.027,-1.408,-1.059,3.875,3.333,3.556,2.500,3.500
53,1.052,-1.135,-0.923,2.250,4.000,2.889,4.500,4.400
54,-0.551,0.722,-0.102,3.000,3.333,3.111,2.750,3.100
57,-1.487,0.926,2.303,2.125,4.000,3.222,2.125,2.700
58,0.462,-0.498,-0.391,2.125,4.333,3.556,3.875,3.600
59,-2.024,1.684,0.953,4.000,4.111,2.556,2.875,3.500
