uid,stat_total,act_total,extra,agrbl,consc,neuro,openn
00,0.004,1.542,3.750,2.889,3.000,3.125,4.500
01,0.397,0.782,3.125,3.778,4.444,2.750,3.900
02,0.924,0.735,2.125,3.000,4.222,3.500,3.200
03,0.020,-1.410,2.125,3.222,3.889,3.375,2.700
04,-0.048,2.327,2.375,3.111,2.667,4.125,2.900
05,0.426,-0.343,3.125,3.778,4.444,2.750,3.300
07,-0.487,-0.153,3.125,4.222,3.778,2.143,2.300
08,0.753,0.892,2.625,3.778,4.222,3.250,3.300
09,0.501,0.689,2.375,4.556,2.667,2.125,3.300
10,1.142,-0.096,2.000,1.333,4.778,3.375,3.600
12,0.978,-0.091,2.875,3.556,3.667,2.875,3.400
13,0.095,-0.590,3.375,3.556,2.444,3.375,4.300
14,0.010,1.649,3.250,3.667,3.375,2.429,3.300
15,-1.953,-1.082,3.250,3.556,3.111,2.750,3.000
16,0.651,0.064,1.750,3.333,3.556,4.250,3.800
17,1.085,-0.400,2.625,3.889,3.333,3.125,4.500
18,0.235,-0.726,2.625,2.222,3.222,3.750,2.500
19,1.054,-0.218,1.750,3.111,3.444,3.625,3.200
20,-0.675,-1.098,3.875,4.333,3.333,2.375,3.600
22,0.073,-0.126,3.625,3.444,4.556,2.875,3.800
23,0.568,-1.019,3.000,3.667,3.000,3.750,3.600
24,-1.896,-0.704,3.500,2.667,2.333,3.125,3.500
27,0.932,-0.602,2.500,3.889,2.667,3.125,3.300
30,0.425,0.848,4.500,4.111,4.444,2.000,3.600
31,0.596,0.020,4.250,3.889,2.889,3.125,3.700
32,0.224,1.027,4.250,4.222,4.333,1.750,3.700
33,-0.088,-0.123,2.875,3.333,1.889,3.625,4.600
34,-0.904,-0.596,3.250,4.333,3.111,2.875,3.300
35,1.196,-0.393,2.625,3.889,3.556,2.625,3.400
36,0.801,0.701,3.500,4.111,3.778,1.750,3.500
39,-2.690,-1.793,3.375,3.333,3.111,3.000,3.500
42,-0.688,-1.061,3.125,4.222,2.444,2.500,3.900
43,-0.431,0.147,2.375,4.111,4.222,2.500,3.300
44,0.631,-1.142,3.375,3.667,3.778,2.250,3.600
45,-0.382,-1.025,3.750,3.667,3.444,3.125,3.700
46,-0.395,2.384,3.125,3.111,3.556,3.500,4.200
47,-0.322,-0.697,4.375,3.222,3.444,2.000,3.800
49,1.895,0.736,2.875,4.222,3.667,2.500,4.300
50,-1.442,-1.446,3.875,3.333,3.556,2.500,3.500
51,0.969,1.284,3.375,3.778,3.778,2.750,4.000
52,-2.421,1.647,1.625,3.333,2.222,4.125,3.500
53,0.621,-0.930,2.250,4.000,2.889,4.500,4.400
54,-1.139,-0.044,3.000,3.333,3.111,2.750,3.100
56,0.334,0.032,1.625,4.111,3.333,2.000,4.100
57,0.518,1.970,2.125,4.000,3.222,2.125,2.700
58,0.820,-0.176,2.125,4.333,3.556,3.875,3.600
59,-0.000,0.000,4.000,4.111,2.556,2.875,3.500
