uid,stat_total,walk_total,run_total,extra,agrbl,consc,neuro,openn
00,0.004,1.548,1.106,3.750,2.889,3.000,3.125,4.500
01,0.397,0.424,1.291,3.125,3.778,4.444,2.750,3.900
02,0.924,1.415,-0.843,2.125,3.000,4.222,3.500,3.200
03,0.020,-1.468,-0.903,2.125,3.222,3.889,3.375,2.700
04,-0.048,1.833,2.688,2.375,3.111,2.667,4.125,2.900
05,0.426,-0.134,-0.674,3.125,3.778,4.444,2.750,3.300
07,-0.487,-0.318,0.223,3.125,4.222,3.778,2.143,2.300
08,0.753,0.804,0.826,2.625,3.778,4.222,3.250,3.300
09,0.501,0.978,-0.085,2.375,4.556,2.667,2.125,3.300
10,1.142,-0.162,0.066,2.000,1.333,4.778,3.375,3.600
12,0.978,-0.309,0.374,2.875,3.556,3.667,2.875,3.400
13,0.095,-0.725,-0.155,3.375,3.556,2.444,3.375,4.300
14,0.010,2.350,-0.224,3.250,3.667,3.375,2.429,3.300
15,-1.953,-1.053,-0.843,3.250,3.556,3.111,2.750,3.000
16,0.651,0.273,-0.377,1.750,3.333,3.556,4.250,3.800
17,1.085,-0.268,-0.557,2.625,3.889,3.333,3.125,4.500
18,0.235,-0.648,-0.685,2.625,2.222,3.222,3.750,2.500
19,1.054,0.158,-0.918,1.750,3.111,3.444,3.625,3.200
20,-0.675,-1.044,-0.903,3.875,4.333,3.333,2.375,3.600
22,0.073,-0.425,0.513,3.625,3.444,4.556,2.875,3.800
23,0.568,-1.006,-0.764,3.000,3.667,3.000,3.750,3.600
24,-1.896,-0.795,-0.325,3.500,2.667,2.333,3.125,3.500
27,0.932,-0.510,-0.622,2.500,3.889,2.667,3.125,3.300
30,0.425,1.258,-0.216,4.500,4.111,4.444,2.000,3.600
31,0.596,0.189,-0.328,4.250,3.889,2.889,3.125,3.700
32,0.224,1.371,0.049,4.250,4.222,4.333,1.750,3.700
33,-0.088,0.097,-0.534,2.875,3.333,1.889,3.625,4.600
34,-0.904,-0.552,-0.521,3.250,4.333,3.111,2.875,3.300
35,1.196,-0.650,0.234,2.625,3.889,3.556,2.625,3.400
36,0.801,0.233,1.455,3.500,4.111,3.778,1.750,3.500
39,-2.690,-1.944,-0.995,3.375,3.333,3.111,3.000,3.500
42,-0.688,-1.077,-0.738,3.125,4.222,2.444,2.500,3.900
43,-0.431,0.246,-0.095,2.375,4.111,4.222,2.500,3.300
44,0.631,-1.160,-0.791,3.375,3.667,3.778,2.250,3.600
45,-0.382,-1.001,-0.791,3.750,3.667,3.444,3.125,3.700
46,-0.395,2.277,1.944,3.125,3.111,3.556,3.500,4.200
47,-0.322,-0.605,-0.692,4.375,3.222,3.444,2.000,3.800
49,1.895,1.000,-0.002,2.875,4.222,3.667,2.500,4.300
50,-1.442,-1.478,-0.983,3.875,3.333,3.556,2.500,3.500
51,0.969,1.128,1.247,3.375,3.778,3.778,2.750,4.000
52,-2.421,0.539,3.435,1.625,3.333,2.222,4.125,3.500
53,0.621,-0.846,-0.843,2.250,4.000,2.889,4.500,4.400
54,-1.139,0.118,-0.361,3.000,3.333,3.111,2.750,3.100
56,0.334,0.032,0.024,1.625,4.111,3.333,2.000,4.100
57,0.518,1.496,2.386,2.125,4.000,3.222,2.125,2.700
58,0.820,-0.087,-0.309,2.125,4.333,3.556,3.875,3.600
59,-0.000,-0.000,0.000,4.000,4.111,2.556,2.875,3.500
