uid,stat_total_oncampus,walk_total_oncampus,run_total_oncampus,extra,agrbl,consc,neuro,openn
01,0.376,0.302,1.199,3.125,3.778,4.444,2.75,3.9
02,0.897,1.291,-0.819,2.125,3,4.222,3.5,3.2
03,0.003,-1.586,-0.876,2.125,3.222,3.889,3.375,2.7
04,-0.064,1.708,2.520,2.375,3.111,2.667,4.125,2.9
05,0.405,-0.254,-0.659,3.125,3.778,4.444,2.75,3.3
07,-0.498,-0.439,0.190,3.125,4.222,3.778,2.143,2.3
08,0.728,0.681,0.759,2.625,3.778,4.222,3.25,3.3
09,0.479,0.855,-0.102,2.375,4.556,2.667,2.125,3.3
10,1.113,-0.283,0.040,2,1.333,4.778,3.375,3.6
14,-0.006,2.225,-0.234,3.25,3.667,3.375,2.429,3.3
15,-1.948,-1.172,-0.818,3.25,3.556,3.111,2.75,3
16,0.628,0.151,-0.378,1.75,3.333,3.556,4.25,3.8
17,1.057,-0.389,-0.549,2.625,3.889,3.333,3.125,4.5
18,0.216,-0.768,-0.670,2.625,2.222,3.222,3.75,2.5
19,1.026,0.036,-0.889,1.75,3.111,3.444,3.625,3.2
20,-0.684,-1.163,-0.876,3.875,4.333,3.333,2.375,3.6
22,0.056,-0.545,0.464,3.625,3.444,4.556,2.875,3.8
23,0.545,-1.125,-0.744,3,3.667,3,3.75,3.6
24,-1.892,-0.914,-0.329,3.5,2.667,2.333,3.125,3.5
27,0.906,-0.630,-0.610,2.5,3.889,2.667,3.125,3.3
30,0.404,1.134,-0.226,4.5,4.111,4.444,2,3.6
32,0.205,1.247,0.025,4.25,4.222,4.333,1.75,3.7
33,-0.103,-0.024,-0.526,2.875,3.333,1.889,3.625,4.6
35,1.167,-0.769,0.200,2.625,3.889,3.556,2.625,3.4
43,-0.443,0.125,-0.111,2.375,4.111,4.222,2.5,3.3
46,-0.407,2.151,1.816,3.125,3.111,3.556,3.5,4.2
49,1.857,0.877,-0.023,2.875,4.222,3.667,2.5,4.3
50,-1.443,-1.596,-0.951,3.875,3.333,3.556,2.5,3.5
52,-2.411,0.417,3.226,1.625,3.333,2.222,4.125,3.5
53,0.598,-0.966,-0.819,2.25,4,2.889,4.5,4.4
54,-1.143,-0.003,-0.363,3,3.333,3.111,2.75,3.1
57,0.496,1.372,2.234,2.125,4,3.222,2.125,2.7
58,0.795,-0.207,-0.314,2.125,4.333,3.556,3.875,3.6
59,0.000,0.000,-0.000,4,4.111,2.556,2.875,3.5
