uid,fp_53_commons,fp_53_commons;baker-berry,fp_53_commons;massrow,fp_53_commons;north-main,fp_53_commons;sudikoff,fp_7-lebanon,fp_baker-berry,fp_baker-berry;hopkins,fp_baker-berry;kemeny,fp_baker-berry;lsb,fp_baker-berry;ripley,fp_baker-berry;sudikoff,fp_butterfield,fp_channing-cox,fp_college-street,fp_cummings,fp_cutter-north,fp_dana-library,fp_dartmouth_hall,fp_east-wheelock,fp_fayerweather,fp_french,fp_gile,fp_hopkins,fp_hopkins;baker-berry,fp_hopkins;lsb,fp_hopkins;north-main,fp_hopkins;ripley,fp_hopkins;sudikoff,fp_kemeny,fp_kemeny;baker-berry,fp_kemeny;hopkins,fp_little_hall,fp_lodge,fp_lsb,fp_lsb;53_commons,fp_lsb;baker-berry,fp_lsb;baker-berry;kemeny,fp_lsb;hopkins,fp_lsb;north-main,fp_lsb;north-park,fp_lsb;sudikoff,fp_massrow,fp_massrow;lsb,fp_maxwell,fp_mclaughlin,fp_moore,fp_newhamp,fp_north-main,fp_north-main;53_commons,fp_north-main;baker-berry,fp_north-main;hopkins,fp_north-main;lsb,fp_north-main;sudikoff,fp_north-park,fp_north-park;lsb,fp_north-park;lsb;north-park,fp_north-park;sudikoff,fp_north-park;sudikoff;north-park,fp_occum,fp_reed,fp_ripley,fp_robinson,fp_ropeferry,fp_silsby-rocky,fp_sport-venues,fp_sport-venues;hopkins,fp_sudikoff,fp_sudikoff;53_commons,fp_sudikoff;baker-berry,fp_sudikoff;hopkins,fp_sudikoff;lsb,fp_sudikoff;north-main,fp_sudikoff;north-park,fp_sudikoff;sudikoff,fp_thayer_secure,fp_vac,fp_wheeler,fp_woodward,extra
00,0.000,0.000,0.000,0.000,0.000,3.000,20.000,0.000,0.000,11.000,0.000,13.000,0.000,0.000,3.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,8.000,0.000,0.000,8.000,0.000,11.000,0.000,0.000,0.000,0.000,2.000,0.000,15.000,0.000,6.000,0.000,5.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,19.000,0.000,4.000,0.000,10.000,7.000,0.000,1.000,0.000,0.000,0.000,0.000,3.750
01,7.000,0.000,0.000,0.000,0.000,0.000,4.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,7.000,16.000,0.000,0.000,1.000,0.000,0.000,0.000,17.000,1.000,0.000,0.000,0.000,0.000,20.000,3.000,11.000,0.000,0.000,14.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,12.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.125
02,4.000,0.000,0.000,0.000,1.000,0.000,7.000,1.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.000,2.000,0.000,1.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,13.000,0.000,1.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,1.000,0.000,0.000,11.000,9.000,14.000,3.000,4.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,2.125
03,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,3.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,20.000,8.000,3.000,6.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,2.125
04,9.000,2.000,0.000,0.000,0.000,1.000,19.000,7.000,0.000,7.000,13.000,4.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,4.000,0.000,0.000,0.000,19.000,8.000,7.000,1.000,17.000,1.000,0.000,0.000,0.000,0.000,1.000,15.000,0.000,2.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,20.000,6.000,0.000,0.000,16.000,3.000,7.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,19.000,2.000,0.000,0.000,2.375
05,13.000,0.000,9.000,0.000,1.000,0.000,5.000,0.000,1.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,1.000,17.000,0.000,7.000,0.000,0.000,1.000,12.000,0.000,0.000,0.000,0.000,15.000,2.000,1.000,1.000,7.000,0.000,0.000,0.000,20.000,5.000,0.000,1.000,10.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,1.000,0.000,1.000,11.000,0.000,9.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.125
07,11.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,4.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,15.000,0.000,5.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,15.000,1.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,1.000,0.000,0.000,0.000,0.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,11.000,1.000,5.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,3.125
08,7.000,2.000,0.000,0.000,3.000,1.000,13.000,6.000,4.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,20.000,0.000,0.000,19.000,2.000,3.000,1.000,0.000,3.000,8.000,6.000,0.000,0.000,0.000,12.000,0.000,1.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,1.000,4.000,0.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,2.000,18.000,3.000,6.000,5.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,2.625
09,13.000,1.000,0.000,12.000,0.000,1.000,17.000,1.000,0.000,7.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,10.000,1.000,0.000,0.000,0.000,13.000,0.000,0.000,6.000,0.000,0.000,3.000,0.000,1.000,0.000,0.000,16.000,0.000,5.000,0.000,1.000,10.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,20.000,7.000,11.000,3.000,7.000,3.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.000,0.000,0.000,3.000,1.000,4.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,2.375
10,15.000,14.000,0.000,0.000,0.000,1.000,20.000,7.000,13.000,19.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,1.000,14.000,12.000,2.000,0.000,0.000,20.000,0.000,17.000,12.000,1.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000,11.000,0.000,4.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,2.000
